player_name,player_age,player_nats,from_team,from_competition,to_team,to_competition,market_value,transfer_date,transfer_fee
Pawel Cibicki,26,"Sweden,Poland",ADO Den Haag,Eredivisie,Leeds,Championship,€550k,"Jan 11, 2020",End of loan
Liam Kelly,24,"Ireland,England",Feyenoord,Eredivisie,Oxford United,League One,€475k,"Jan 8, 2020",Loan
Sam Stubbs,21,England,Boro U23,Premier League 2,ADO Den Haag,Eredivisie,€250k,"Jan 8, 2020",Loan
Justin Ogenia,21,"Curacao,Netherlands",Willem II,Eredivisie,FC Eindhoven,Keuken Kampioen Divisie,€75k,"Jan 7, 2020",Loan
Oussama Darfalou,26,Algeria,Vitesse,Eredivisie,VVV-Venlo,Eredivisie,€800k,"Jan 7, 2020",Loan
Björn Johnsen,28,"Norway,United States",AZ Alkmaar,Eredivisie,Ulsan Hyundai,K League 1,€1.20m,"Jan 6, 2020",€1.00m
Anders Dreyer,21,Denmark,Heerenveen,Eredivisie,Brighton,Premier League,€525k,"Jan 5, 2020",End of loan
Ramon Leeuwin,32,"Netherlands,Suriname",Odense BK,Superligaen,AZ Alkmaar,Eredivisie,€400k,"Jan 3, 2020",?
Halil Dervisoglu,20,"Turkey,Netherlands",Sparta R.,Eredivisie,Brentford,Championship,€1.80m,"Jan 3, 2020",€3.00m
Tijjani Reijnders,21,Netherlands,AZ Alkmaar,Eredivisie,RKC Waalwijk,Eredivisie,€625k,"Jan 2, 2020",Loan
Hilal Ben Moussa,27,"Netherlands,Morocco",Sepsi Sf. Gh.,Liga 1 - Relegation group,FC Emmen,Eredivisie,€250k,"Jan 2, 2020",Free transfer
Mike Havekotte,24,Netherlands,ADO Den Haag,Eredivisie,FC Dordrecht,Keuken Kampioen Divisie,€75k,"Jan 2, 2020",Loan
Ramón ten Hove,22,Netherlands,FC Dordrecht,Keuken Kampioen Divisie,Feyenoord,Eredivisie,€200k,"Jan 2, 2020",End of loan
Jesse Bosch,20,Netherlands,FC Twente U21,Beloften Eerste Divisie,FC Twente,Eredivisie,€50k,"Jan 1, 2020",-
Romano Postema,18,Netherlands,Groningen U19,U19 Eredivisie,FC Groningen,Eredivisie,€200k,"Jan 1, 2020",-
Mats van Kins,21,Netherlands,ADO Den Haag,Eredivisie,ADO U21,Derde Divisie Sunday,€100k,"Jan 1, 2020",-
Dean van der Sluys,24,Netherlands,RKC Waalwijk,Eredivisie,TOP Oss,Keuken Kampioen Divisie,€300k,"Jan 1, 2020",Free transfer
Mica Pinto,26,"Portugal,Luxembourg",Fortuna Sittard,Eredivisie,Sparta R.,Eredivisie,€525k,"Jan 1, 2020",?
Runar Espejord,24,Norway,Tromsø IL,OBOS-ligaen,Heerenveen,Eredivisie,€325k,"Jan 1, 2020",€500k
Michael Breij,23,Netherlands,FC Groningen,Eredivisie,SC Cambuur,Keuken Kampioen Divisie,€325k,"Jan 1, 2020",?
Hakon Evjen,20,Norway,Bodø/Glimt,Eliteserien,AZ Alkmaar,Eredivisie,€3.20m,"Jan 1, 2020",€2.50m
Toni Lato,22,Spain,PSV Eindhoven,Eredivisie,Valencia,LaLiga,€1.60m,"Jan 1, 2020",End of loan
Jannik Pohl,24,Denmark,AC Horsens,Superligaen,FC Groningen,Eredivisie,€300k,"Dec 31, 2019",End of loan
Jhonny Quiñónez,21,Ecuador,Willem II,Eredivisie,SD Aucas,LigaPro Serie A,€450k,"Dec 31, 2019",End of loan
Björn Johnsen,28,"Norway,United States",Rosenborg BK,Eliteserien,AZ Alkmaar,Eredivisie,€1.20m,"Dec 31, 2019",End of loan
Luis Manuel Orejuela,24,Colombia,Cruzeiro,Série A,Ajax,Eredivisie,€1.20m,"Dec 31, 2019",End of loan
Jordan Teze,20,"Netherlands,Congo",PSV U21,Keuken Kampioen Divisie,PSV Eindhoven,Eredivisie,€450k,"Dec 21, 2019",-
Agim Zeka,21,"Albania,Germany",Fortuna Sittard,Eredivisie,LOSC Lille B,"
 France		",€150k,"Dec 20, 2019",End of loan
Dylan Seys,23,Belgium,RKC Waalwijk,Eredivisie,Without Club,None,€400k,"Dec 3, 2019",-
Keisuke Honda,33,Japan,Without Club,None,Vitesse,Eredivisie,€800k,"Nov 6, 2019",-
Miguel Araujo,25,Peru,Without Club,None,FC Emmen,Eredivisie,€675k,"Oct 4, 2019",Free transfer
Fabian Sporkslede,26,"Netherlands,Suriname",Without Club,None,RKC Waalwijk,Eredivisie,€325k,"Sep 27, 2019",-
Georgios Strezos,24,Greece,Without Club,None,Willem II,Eredivisie,€325k,"Sep 25, 2019",Free transfer
Özgür Aktas,23,"Netherlands,Turkey",Vitesse U21,Beloften Eerste Divisie,Vitesse,Eredivisie,€50k,"Sep 19, 2019",-
Patrick Vroegh,20,Netherlands,Vitesse U21,Beloften Eerste Divisie,Vitesse,Eredivisie,€50k,"Sep 19, 2019",-
Wilfried Kanon,26,Cote d'Ivoire,ADO Den Haag,Eredivisie,Pyramids FC,Premier League,€1.40m,"Sep 17, 2019",€600k
Jari Oosterwijk,25,Netherlands,FC Twente,Eredivisie,Without Club,None,€400k,"Sep 16, 2019",-
Noa Lang,20,"Netherlands,Suriname",Ajax U21,Keuken Kampioen Divisie,Ajax,Eredivisie,€2.70m,"Sep 12, 2019",-
Jurgen Ekkelenkamp,20,Netherlands,Ajax U21,Keuken Kampioen Divisie,Ajax,Eredivisie,€1.30m,"Sep 12, 2019",-
Sergiño Dest,19,"United States,Netherlands",Ajax U21,Keuken Kampioen Divisie,Ajax,Eredivisie,€18.00m,"Sep 12, 2019",-
Ryan Gravenberch,17,"Netherlands,Suriname",Ajax U21,Keuken Kampioen Divisie,Ajax,Eredivisie,€11.00m,"Sep 12, 2019",-
Tesfaldet Tekie,22,"Sweden,Eritrea",Without Club,None,Fortuna Sittard,Eredivisie,€650k,"Sep 9, 2019",-
Queensy Menig,24,"Netherlands,Suriname",Without Club,None,FC Twente,Eredivisie,€550k,"Sep 9, 2019",-
Eli Dasa,27,Israel,Without Club,None,Vitesse,Eredivisie,€800k,"Sep 9, 2019",-
Jamal Blackman,26,"England,Jamaica",Chelsea,Premier League,Vitesse,Eredivisie,€400k,"Sep 3, 2019",Loan
Josimar Lima,30,"Cape Verde,Netherlands",VVV-Venlo,Eredivisie,ASWH,Tweede Divisie,-,"Sep 2, 2019",Free transfer
Mickaël Malsa,24,"Martinique,France",Fortuna Sittard,Eredivisie,CD Mirandés,LaLiga2,€800k,"Sep 2, 2019",Free transfer
Alen Halilovic,23,Croatia,AC Milan,Serie A,Heerenveen,Eredivisie,€1.40m,"Sep 2, 2019",Loan
Mike Trésor Ndayishimiye,20,"Belgium,Burundi",NEC Nijmegen,Keuken Kampioen Divisie,Willem II,Eredivisie,€3.60m,"Sep 2, 2019",Loan
Alexander Laukart,21,Germany,FC Twente,Eredivisie,FC Den Bosch,Keuken Kampioen Divisie,€200k,"Sep 2, 2019",Free transfer
Joel Latibeaudiere,20,"England,Jamaica",Man City U23,Premier League 2,FC Twente,Eredivisie,€100k,"Sep 2, 2019",Loan
Tesfaldet Tekie,22,"Sweden,Eritrea",KAA Gent,Jupiler Pro League,Without Club,None,€650k,"Sep 2, 2019",-
George Cox,22,England,Brighton U23,Premier League 2,Fortuna Sittard,Eredivisie,€75k,"Sep 2, 2019",Loan
Jannik Pohl,24,Denmark,FC Groningen,Eredivisie,AC Horsens,Superligaen,€300k,"Sep 2, 2019",Loan
Lucas Schoofs,23,Belgium,KAA Gent,Jupiler Pro League,Heracles Almelo,Eredivisie,€250k,"Sep 2, 2019",Free transfer
Mateo Cassierra,23,Colombia,Ajax,Eredivisie,Belenenses SAD,Liga NOS,€1.20m,"Sep 2, 2019",€2.50m
Jeremy Cijntje,22,"Curacao,Netherlands",FC Dordrecht,Keuken Kampioen Divisie,Heracles Almelo,Eredivisie,€300k,"Sep 2, 2019",?
Reza Ghoochannejhad,32,"Iran,Netherlands",APOEL Nicosia,First Division,PEC Zwolle,Eredivisie,€525k,"Sep 2, 2019",Free transfer
Miquel Nelom,29,"Netherlands,Suriname",Hibernian FC,Premiership,Willem II,Eredivisie,€400k,"Sep 2, 2019",Free transfer
Nouha Dicko,27,"Mali,France",Hull City,Championship,Vitesse,Eredivisie,€1.20m,"Sep 2, 2019",Loan
Aleksandar Bjelica,26,"Serbia,Netherlands",Korona Kielce,Ekstraklasa,ADO Den Haag,Eredivisie,€300k,"Sep 2, 2019",Loan
Jeroen van der Lely,24,Netherlands,FC Twente,Eredivisie,Vendsyssel FF,NordicBet LIGA,€250k,"Sep 2, 2019",Free transfer
Jelle van der Heyden,24,Netherlands,FC Twente,Eredivisie,Vendsyssel FF,NordicBet LIGA,€250k,"Sep 2, 2019",Free transfer
Tom Boere,27,Netherlands,FC Twente,Eredivisie,KFC Uerdingen,3. Liga,€400k,"Sep 2, 2019",Free transfer
Vyacheslav Karavaev,24,Russia,Vitesse,Eredivisie,Zenit S-Pb,Premier Liga,€5.50m,"Sep 2, 2019",€8.00m
Marcos Senesi,22,"Argentina,Italy",San Lorenzo,Superliga,Feyenoord,Eredivisie,€7.00m,"Sep 2, 2019",€7.00m
Luciano Slagveer,26,"Netherlands,Suriname",KSC Lokeren,Proximus League,FC Emmen,Eredivisie,€400k,"Sep 2, 2019",Free transfer
John Yeboah,19,"Germany,Ghana",VfL Wolfsburg,Bundesliga,VVV-Venlo,Eredivisie,€575k,"Sep 2, 2019",Loan
Van Hau Doan,20,Vietnam,Ha Noi FC,V.League 1,Heerenveen,Eredivisie,€150k,"Sep 2, 2019",Loan
Thijmen Goppel,23,Netherlands,ADO Den Haag,Eredivisie,MVV Maastricht,Keuken Kampioen Divisie,€300k,"Sep 2, 2019",Loan
Leandro Fernandes,20,"Netherlands,Angola",Juventus U23,Serie C - A,Fortuna Sittard,Eredivisie,€175k,"Sep 2, 2019",Loan
Tino-Sven Susic,28,"Bosnia-Herzegovina,Belgium",VVV-Venlo,Eredivisie,Without Club,None,€650k,"Sep 2, 2019",-
Emil Bergström,26,Sweden,FC Utrecht,Eredivisie,FC Basel,Super League,€800k,"Sep 2, 2019",Loan
Zian Flemming,21,Netherlands,PEC Zwolle,Eredivisie,NEC Nijmegen,Keuken Kampioen Divisie,€675k,"Sep 2, 2019",Loan
Denzel James,25,Netherlands,Sparta R.,Eredivisie,Noordwijk,Tweede Divisie,-,"Sep 2, 2019",Free transfer
Tim van de Berg,22,Netherlands,Heracles Almelo,Eredivisie,DHSC Utrecht,Hoofdklasse A Saturday,€100k,"Sep 2, 2019",Free transfer
Mukhtar Ali,22,"Saudi Arabia,England",Vitesse,Eredivisie,Al-Nassr,Professional League,€450k,"Sep 1, 2019",?
Derrick Luckassen,24,"Netherlands,Ghana",PSV Eindhoven,Eredivisie,RSC Anderlecht,Jupiler Pro League,€2.40m,"Aug 31, 2019",Loan
Bart Nieuwkoop,24,Netherlands,Feyenoord,Eredivisie,Willem II,Eredivisie,€1.20m,"Aug 30, 2019",Loan
Michaël Heylen,26,Belgium,Zulte Waregem,Jupiler Pro League,FC Emmen,Eredivisie,€400k,"Aug 30, 2019",Free transfer
Clint Leemans,24,Netherlands,PEC Zwolle,Eredivisie,RKC Waalwijk,Eredivisie,€550k,"Aug 30, 2019",Loan
Dani de Wit,22,Netherlands,Ajax,Eredivisie,AZ Alkmaar,Eredivisie,€2.70m,"Aug 30, 2019",€2.00m
Crysencio Summerville,18,"Netherlands,Suriname",Feyenoord U19,U19 Eredivisie,ADO Den Haag,Eredivisie,€900k,"Aug 30, 2019",Loan
Joey Veerman,21,Netherlands,FC Volendam,Keuken Kampioen Divisie,Heerenveen,Eredivisie,€3.20m,"Aug 30, 2019",€550k
Ritsu Doan,21,Japan,FC Groningen,Eredivisie,PSV Eindhoven,Eredivisie,€6.30m,"Aug 30, 2019",€7.50m
Jan de Boer,19,Netherlands,Heerenveen U19,U19 Eredivisie,FC Groningen,Eredivisie,€25k,"Aug 29, 2019",Free transfer
Jhonny Quiñónez,21,Ecuador,SD Aucas,LigaPro Serie A,Willem II,Eredivisie,€450k,"Aug 29, 2019",Loan
Kasper Dolberg,22,Denmark,Ajax,Eredivisie,OGC Nice,Ligue 1,€16.00m,"Aug 29, 2019",€20.50m
Trent Sainsbury,28,"Australia,England",PSV Eindhoven,Eredivisie,Maccabi Haifa,Ligat ha'Al,€950k,"Aug 29, 2019",Free transfer
Marko Vejinović,30,"Netherlands,Serbia",AZ Alkmaar,Eredivisie,Arka Gdynia,Ekstraklasa,€900k,"Aug 28, 2019",€300k
Elton Kabangu,22,"Belgium,DR Congo",KAA Gent,Jupiler Pro League,Willem II,Eredivisie,€350k,"Aug 27, 2019",?
Oriol Busquets,21,Spain,FC Barcelona,LaLiga,FC Twente,Eredivisie,€2.30m,"Aug 27, 2019",Loan
Cian Harries,23,Wales,Swansea,Championship,Fortuna Sittard,Eredivisie,€250k,"Aug 27, 2019",Loan
Zakaria Aboukhlal,20,"Netherlands,Morocco",PSV U21,Keuken Kampioen Divisie,AZ Alkmaar,Eredivisie,€1.30m,"Aug 27, 2019",€2.00m
Martin Angha,26,"Switzerland,DR Congo",FC Sion,Super League,Fortuna Sittard,Eredivisie,€550k,"Aug 26, 2019",?
Stanley Elbers,27,"Netherlands,Suriname",PEC Zwolle,Eredivisie,RKC Waalwijk,Eredivisie,€400k,"Aug 26, 2019",Loan
Thulani Serero,30,South Africa,Vitesse,Eredivisie,Al-Jazira,UAE Gulf League,€1.00m,"Aug 25, 2019",?
Björn Johnsen,28,"Norway,United States",AZ Alkmaar,Eredivisie,Rosenborg BK,Eliteserien,€1.20m,"Aug 24, 2019",Loan
Bart Ramselaar,23,Netherlands,PSV Eindhoven,Eredivisie,FC Utrecht,Eredivisie,€2.40m,"Aug 24, 2019",?
Royston Drenthe,33,"Netherlands,Suriname",Sparta R.,Eredivisie,Kozakken Boys,Tweede Divisie,-,"Aug 24, 2019",Free transfer
Mustafa Saymak,27,"Netherlands,Turkey",C. Rizespor,Süper Lig,PEC Zwolle,Eredivisie,€725k,"Aug 23, 2019",Free transfer
Anders Dreyer,21,Denmark,Brighton,Premier League,Heerenveen,Eredivisie,€525k,"Aug 23, 2019",Loan
Hirving Lozano,24,Mexico,PSV Eindhoven,Eredivisie,SSC Napoli,Serie A,€28.00m,"Aug 23, 2019",€38.00m
Dylan Vente,20,Netherlands,Feyenoord,Eredivisie,RKC Waalwijk,Eredivisie,€450k,"Aug 23, 2019",Loan
Joël Piroe,20,"Netherlands,Suriname",PSV U21,Keuken Kampioen Divisie,Sparta R.,Eredivisie,€725k,"Aug 22, 2019",Loan
Rasmus Thelander,28,Denmark,Vitesse,Eredivisie,Aalborg BK,Superligaen,€550k,"Aug 22, 2019",€100k
Lee Cattermole,32,England,Sunderland,League One,VVV-Venlo,Eredivisie,€650k,"Aug 22, 2019",Free transfer
Konstantinos Mitroglou,32,Greece,Galatasaray,Süper Lig,PSV Eindhoven,Eredivisie,€1.60m,"Aug 21, 2019",Loan fee:€1.25m
Pawel Cibicki,26,"Sweden,Poland",Leeds,Championship,ADO Den Haag,Eredivisie,€550k,"Aug 21, 2019",Loan
Luuk Koopmans,26,Netherlands,PSV Eindhoven,Eredivisie,ADO Den Haag,Eredivisie,€475k,"Aug 20, 2019",Loan
Jordy Wehrmann,21,Netherlands,Feyenoord,Eredivisie,FC Dordrecht,Keuken Kampioen Divisie,€250k,"Aug 20, 2019",Loan
Emil Hansson,21,"Sweden,Norway",Feyenoord,Eredivisie,Hannover 96,2. Bundesliga,€800k,"Aug 19, 2019",€400k
Othman Boussaid,20,"Belgium,Morocco",FC Utrecht,Eredivisie,NAC Breda,Keuken Kampioen Divisie,€775k,"Aug 19, 2019",Loan
Edgar Ié,25,"Portugal,Guinea-Bissau",Trabzonspor,Süper Lig,Feyenoord,Eredivisie,€2.40m,"Aug 16, 2019",Loan
Nick Kuipers,27,Netherlands,ADO Den Haag,Eredivisie,Persib Bandung,Liga 1,€375k,"Aug 15, 2019",Free transfer
Calvin Verdonk,22,Netherlands,Feyenoord,Eredivisie,FC Twente,Eredivisie,€1.60m,"Aug 15, 2019",Loan
Joel Asoro,20,"Sweden,Ghana",Swansea,Championship,FC Groningen,Eredivisie,€1.30m,"Aug 15, 2019",Loan
Ahmed El Messaoudi,24,"Morocco,Belgium",KV Mechelen,Jupiler Pro League,FC Groningen,Eredivisie,€800k,"Aug 15, 2019",?
Nasser El Khayati,31,"Netherlands,Morocco",ADO Den Haag,Eredivisie,Qatar SC,Stars League,€2.20m,"Aug 15, 2019",€1.70m
Tom van de Looi,20,Netherlands,FC Groningen,Eredivisie,NEC Nijmegen,Keuken Kampioen Divisie,€350k,"Aug 14, 2019",Loan
Thomas Bruns,28,Netherlands,Vitesse,Eredivisie,PEC Zwolle,Eredivisie,€650k,"Aug 14, 2019",Loan
